,Unnamed: 0,name,coordinates,category,location,rating,review_count,state
58260,58260,Arby's,"{'latitude': 30.2859844211206, 'longitude': -81.983767747879}","[{'alias': 'hotdogs', 'title': 'Fast Food'}, {'alias': 'sandwiches', 'title': 'Sandwiches'}]","{'address1': '1024 US Hwy 301 S', 'address2': '', 'address3': '', 'city': 'Jacksonville', 'zip_code': '32234', 'country': 'US', 'state': 'FL', 'display_address': ['1024 US Hwy 301 S', 'Jacksonville, FL 32234']}",1.5,8,FL
58277,58277,McDonald's,"{'latitude': 39.1103341075015, 'longitude': -90.3192702017259}","[{'alias': 'burgers', 'title': 'Burgers'}, {'alias': 'hotdogs', 'title': 'Fast Food'}, {'alias': 'coffee', 'title': 'Coffee & Tea'}]","{'address1': '911 S State St', 'address2': '', 'address3': '', 'city': 'Jerseyville', 'zip_code': '62052', 'country': 'US', 'state': 'IL', 'display_address': ['911 S State St', 'Jerseyville, IL 62052']}",2.0,6,IL
58278,58278,Burger King,"{'latitude': 39.104159, 'longitude': -90.315509}","[{'alias': 'burgers', 'title': 'Burgers'}, {'alias': 'hotdogs', 'title': 'Fast Food'}]","{'address1': '1304 South State Street', 'address2': '', 'address3': '', 'city': 'Jerseyville', 'zip_code': '62052', 'country': 'US', 'state': 'IL', 'display_address': ['1304 South State Street', 'Jerseyville, IL 62052']}",3.0,4,IL
58281,58281,Dairy Queen Grill & Chill,"{'latitude': 39.12234, 'longitude': -90.32896}","[{'alias': 'hotdogs', 'title': 'Fast Food'}, {'alias': 'icecream', 'title': 'Ice Cream & Frozen Yogurt'}, {'alias': 'burgers', 'title': 'Burgers'}]","{'address1': '407 N State St', 'address2': '', 'address3': '', 'city': 'Jerseyville', 'zip_code': '62052', 'country': 'US', 'state': 'IL', 'display_address': ['407 N State St', 'Jerseyville, IL 62052']}",3.5,3,IL
58283,58283,Arby's,"{'latitude': 39.1045299, 'longitude': -90.3158}","[{'alias': 'hotdogs', 'title': 'Fast Food'}, {'alias': 'sandwiches', 'title': 'Sandwiches'}]","{'address1': '1302 S State St', 'address2': '', 'address3': '', 'city': 'Jerseyville', 'zip_code': '62052', 'country': 'US', 'state': 'IL', 'display_address': ['1302 S State St', 'Jerseyville, IL 62052']}",4.0,1,IL
58286,58286,Pizza Hut,"{'latitude': 39.1143247539745, 'longitude': -90.323746}","[{'alias': 'pizza', 'title': 'Pizza'}, {'alias': 'italian', 'title': 'Italian'}, {'alias': 'chicken_wings', 'title': 'Chicken Wings'}]","{'address1': '602 S State St', 'address2': '', 'address3': '', 'city': 'Jerseyville', 'zip_code': '62052', 'country': 'US', 'state': 'IL', 'display_address': ['602 S State St', 'Jerseyville, IL 62052']}",1.5,4,IL
58306,58306,McDonald's,"{'latitude': 38.9012586402877, 'longitude': -90.0575624647468}","[{'alias': 'hotdogs', 'title': 'Fast Food'}, {'alias': 'burgers', 'title': 'Burgers'}, {'alias': 'coffee', 'title': 'Coffee & Tea'}]","{'address1': '2 Plaza Dr', 'address2': '', 'address3': '', 'city': 'Bethalto', 'zip_code': '62010', 'country': 'US', 'state': 'IL', 'display_address': ['2 Plaza Dr', 'Bethalto, IL 62010']}",3.0,9,IL
58408,58408,Gold Star Chili,"{'latitude': 38.86268, 'longitude': -83.89332}","[{'alias': 'hotdogs', 'title': 'Fast Food'}]","{'address1': '662 East State Street', 'address2': None, 'address3': None, 'city': 'Georgetown', 'zip_code': '45121', 'country': 'US', 'state': 'OH', 'display_address': ['662 East State Street', 'Georgetown, OH 45121']}",4.5,4,OH
58409,58409,Burger King,"{'latitude': 38.863467, 'longitude': -83.893726}","[{'alias': 'burgers', 'title': 'Burgers'}, {'alias': 'hotdogs', 'title': 'Fast Food'}]","{'address1': '649 East State Street', 'address2': '', 'address3': '', 'city': 'Georgetown', 'zip_code': '45121', 'country': 'US', 'state': 'OH', 'display_address': ['649 East State Street', 'Georgetown, OH 45121']}",5.0,2,OH
58417,58417,Pizza Hut,"{'latitude': 38.8622655470093, 'longitude': -83.888273615471}","[{'alias': 'pizza', 'title': 'Pizza'}, {'alias': 'italian', 'title': 'Italian'}, {'alias': 'chicken_wings', 'title': 'Chicken Wings'}]","{'address1': '4849 State Rte 125', 'address2': '', 'address3': '', 'city': 'Georgetown', 'zip_code': '45121', 'country': 'US', 'state': 'OH', 'display_address': ['4849 State Rte 125', 'Georgetown, OH 45121']}",1.5,3,OH
58442,58442,China King,"{'latitude': 39.712595, 'longitude': -91.3934152}","[{'alias': 'chinese', 'title': 'Chinese'}]","{'address1': '204A Steamboat Bend Shopping Ctr', 'address2': '', 'address3': '', 'city': 'Hannibal', 'zip_code': '63401', 'country': 'US', 'state': 'MO', 'display_address': ['204A Steamboat Bend Shopping Ctr', 'Hannibal, MO 63401']}",4.5,5,MO
58460,58460,Wendy's,"{'latitude': 38.421495, 'longitude': -86.938396}","[{'alias': 'hotdogs', 'title': 'Fast Food'}, {'alias': 'burgers', 'title': 'Burgers'}]","{'address1': '3565 Newton St.', 'address2': '', 'address3': '', 'city': 'Jasper', 'zip_code': '47546', 'country': 'US', 'state': 'IN', 'display_address': ['3565 Newton St.', 'Jasper, IN 47546']}",5.0,2,IN
58515,58515,Sonic Drive-In,"{'latitude': 34.9878414, 'longitude': -81.201746}","[{'alias': 'burgers', 'title': 'Burgers'}, {'alias': 'hotdogs', 'title': 'Fast Food'}, {'alias': 'icecream', 'title': 'Ice Cream & Frozen Yogurt'}]","{'address1': '1560 E Alexander Love Hwy', 'address2': None, 'address3': '', 'city': 'York', 'zip_code': '29745', 'country': 'US', 'state': 'SC', 'display_address': ['1560 E Alexander Love Hwy', 'York, SC 29745']}",4.5,5,SC
58520,58520,McDonald's,"{'latitude': 34.9858241268474, 'longitude': -81.2119453400373}","[{'alias': 'burgers', 'title': 'Burgers'}, {'alias': 'hotdogs', 'title': 'Fast Food'}, {'alias': 'coffee', 'title': 'Coffee & Tea'}]","{'address1': '989 E Liberty St', 'address2': '', 'address3': '', 'city': 'York', 'zip_code': '29745', 'country': 'US', 'state': 'SC', 'display_address': ['989 E Liberty St', 'York, SC 29745']}",2.5,11,SC
58675,58675,Five Guys,"{'latitude': 35.262099, 'longitude': -81.140282}","[{'alias': 'burgers', 'title': 'Burgers'}, {'alias': 'hotdogs', 'title': 'Fast Food'}]","{'address1': '2212 E Franklin Blvd', 'address2': '', 'address3': '', 'city': 'Gastonia', 'zip_code': '28052', 'country': 'US', 'state': 'NC', 'display_address': ['2212 E Franklin Blvd', 'Gastonia, NC 28052']}",4.0,32,NC
58681,58681,Schlotzsky's,"{'latitude': 35.2568715, 'longitude': -81.1127538}","[{'alias': 'sandwiches', 'title': 'Sandwiches'}, {'alias': 'delis', 'title': 'Delis'}, {'alias': 'catering', 'title': 'Caterers'}]","{'address1': '3735 East Franklin Blvd', 'address2': '', 'address3': '', 'city': 'Gastonia', 'zip_code': '28056', 'country': 'US', 'state': 'NC', 'display_address': ['3735 East Franklin Blvd', 'Gastonia, NC 28056']}",4.0,40,NC
